Column1,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120
23,40.10,32.23,29.35,31.57,31.32,35.95,31.86,31.50,33.15,29.65,35.82,32.51,27.86,31.14,30.67,34.20,26.50,33.11,26.73,35.25,30.59,30.26,30.88,32.62,30.22,24.64,23.74,24.72,26.40,26.26,25.22,23.05,21.57,24.83,23.30,21.58,23.34,20.86,22.31,21.25,20.21,20.54,20.09,19.53,19.19,18.88,18.46,18.24,18.04,17.90,17.75,17.40,16.99,16.76,16.52,16.27,16.06,15.80,15.63,15.50,15.32,15.06,14.83,14.68,14.60,14.47,14.27,14.14,13.98,13.83,13.68,13.51,13.34,13.09,12.83,12.63,12.48,12.31,12.18,12.10,12.00,11.90,11.81,11.54,11.28,11.17,11.01,10.87,10.69,10.53,10.45,10.32,10.13,10.01,9.96,9.84,9.79,9.73,9.67,9.60,9.51,9.42,9.32,9.21,9.02,8.89,8.82,8.75,8.60,8.45,8.36,8.27,8.18,8.09,8.01,7.92,7.77,7.62,7.48,7.34,7.28,7.22,7.16,7.11,6.99,6.94,6.90,6.78,6.74,6.70,6.58,6.54,6.56,6.44,6.32,6.26,6.20,6.07,5.94,5.86
24,30.52,37.72,32.60,32.36,31.09,28.66,34.48,33.18,35.06,33.78,33.91,33.32,34.94,31.91,33.55,30.26,38.57,32.50,33.49,35.70,29.97,33.41,28.63,28.37,25.86,28.25,30.27,26.82,22.81,26.22,24.85,22.71,21.24,23.89,19.32,26.43,18.86,22.61,25.18,18.96,20.96,21.30,20.92,20.55,20.21,19.76,19.39,19.16,18.92,18.70,18.55,18.33,17.97,17.79,17.54,17.19,16.83,16.53,16.39,16.22,16.04,15.82,15.64,15.49,15.29,15.09,14.84,14.71,14.58,14.42,14.34,14.19,14.09,13.92,13.68,13.49,13.28,13.00,12.77,12.64,12.49,12.39,12.29,12.13,11.99,11.79,11.62,11.52,11.32,11.15,11.05,10.91,10.72,10.60,10.48,10.31,10.19,10.14,10.09,9.96,9.89,9.81,9.72,9.62,9.51,9.39,9.27,9.27,9.13,8.91,8.83,8.81,8.65,8.43,8.34,8.32,8.23,8.09,7.94,7.86,7.80,7.66,7.54,7.41,7.29,7.25,7.20,7.09,7.05,7.01,6.90,6.85,6.81,6.69,6.64,6.59,6.54,6.48,6.42,6.34
25,35.60,43.38,39.36,39.26,32.32,31.94,35.41,32.85,36.12,33.37,33.89,34.30,33.48,31.44,30.85,35.73,33.68,38.80,29.14,35.87,31.57,34.98,30.68,32.76,27.55,29.99,24.98,27.70,30.17,24.66,28.06,25.62,25.76,24.97,24.98,24.72,22.89,30.25,23.13,24.31,22.05,22.46,22.17,21.87,21.53,21.09,20.72,20.42,20.16,19.91,19.72,19.54,19.30,19.16,18.85,18.54,18.18,17.83,17.55,17.30,17.13,16.91,16.77,16.61,16.37,16.07,15.82,15.71,15.57,15.45,15.29,15.08,14.93,14.78,14.68,14.57,14.31,14.04,13.76,13.53,13.40,13.31,13.14,12.97,12.87,12.66,12.46,12.35,12.12,11.92,11.81,11.72,11.65,11.46,11.22,11.11,11.00,10.90,10.72,10.54,10.49,10.35,10.27,10.19,10.09,9.98,9.87,9.81,9.67,9.60,9.52,9.44,9.28,9.13,9.04,8.95,8.86,8.71,8.62,8.55,8.41,8.27,8.14,8.01,7.89,7.84,7.73,7.55,7.51,7.40,7.29,7.32,7.21,7.10,7.12,7.01,6.89,6.90,6.85,6.77
26,44.18,38.76,40.04,40.28,38.70,36.68,36.19,34.42,32.43,38.64,34.13,34.10,40.31,34.23,35.57,37.38,30.29,34.87,35.59,34.89,39.22,32.87,38.13,33.70,32.38,34.13,31.29,31.79,28.83,28.20,28.86,23.30,26.63,27.61,29.45,24.97,26.12,24.74,27.77,24.64,23.71,24.17,23.93,23.65,23.32,23.01,22.61,22.27,22.03,21.69,21.39,21.11,20.89,20.74,20.41,20.15,19.92,19.66,19.39,19.13,18.89,18.62,18.36,18.13,17.89,17.63,17.49,17.34,17.10,16.90,16.71,16.50,16.36,16.15,15.93,15.77,15.60,15.41,15.07,14.86,14.76,14.62,14.46,14.28,14.17,13.93,13.71,13.57,13.45,13.29,13.09,12.92,12.71,12.51,12.33,12.22,12.12,12.02,11.80,11.57,11.46,11.28,11.22,11.14,10.99,10.83,10.66,10.55,10.49,10.42,10.28,10.14,10.05,10.03,9.88,9.72,9.69,9.60,9.45,9.30,9.22,9.08,8.95,8.95,8.82,8.70,8.52,8.28,8.24,8.13,8.02,7.99,7.82,7.71,7.67,7.56,7.44,7.40,7.34,7.26
27,45.99,43.24,39.76,43.80,34.32,36.70,36.22,36.95,32.88,39.27,40.68,32.30,44.09,38.42,46.63,39.69,31.97,38.35,35.44,38.99,36.84,35.39,35.99,34.46,38.24,31.39,26.59,32.13,31.70,34.52,34.03,28.97,28.92,24.17,25.98,31.22,25.95,28.61,33.29,31.12,26.01,26.45,26.05,25.81,25.56,25.27,24.88,24.59,24.34,23.96,23.64,23.36,23.14,22.87,22.57,22.33,22.05,21.80,21.58,21.32,21.09,20.81,20.43,20.20,20.01,19.70,19.50,19.23,18.91,18.75,18.55,18.29,18.15,18.02,17.81,17.54,17.32,17.08,16.83,16.69,16.48,16.30,16.10,15.86,15.74,15.55,15.37,15.20,14.99,14.80,14.58,14.38,14.15,13.94,13.87,13.76,13.54,13.39,13.23,12.95,12.73,12.57,12.53,12.47,12.21,12.00,11.84,11.68,11.63,11.51,11.38,11.24,11.02,10.94,10.78,10.62,10.60,10.51,10.35,10.26,10.17,10.03,9.95,9.88,9.75,9.63,9.45,9.33,9.29,9.19,9.08,8.98,8.81,8.65,8.48,8.37,8.33,8.22,8.17,8.08
28,43.80,43.48,44.85,44.48,44.75,39.84,39.80,36.08,42.11,41.87,39.44,41.83,41.38,35.91,36.17,44.29,33.56,39.10,44.86,38.44,34.51,34.25,40.24,36.52,36.12,40.91,31.55,31.93,35.30,37.30,32.07,33.20,34.12,35.14,28.68,34.87,29.04,34.96,30.27,29.01,28.75,29.30,28.86,28.58,28.35,28.02,27.71,27.43,27.06,26.67,26.34,26.09,25.82,25.53,25.32,25.02,24.65,24.40,24.11,23.71,23.48,23.28,23.01,22.75,22.50,22.19,21.87,21.60,21.27,20.99,20.71,20.39,20.20,20.12,20.00,19.67,19.34,19.12,18.95,18.77,18.50,18.35,18.11,17.83,17.58,17.32,17.18,16.99,16.75,16.54,16.34,16.17,15.97,15.74,15.60,15.48,15.19,14.92,14.77,14.57,14.36,14.16,14.01,13.97,13.79,13.54,13.34,13.19,13.09,12.91,12.79,12.66,12.39,12.17,12.02,11.93,11.84,11.68,11.52,11.42,11.33,11.18,11.03,10.83,10.69,10.63,10.51,10.45,10.34,10.24,10.14,10.04,9.94,9.78,9.61,9.51,9.48,9.38,9.27,9.16
29,46.73,46.59,44.80,49.16,42.35,45.40,45.68,39.62,46.11,40.83,38.79,42.73,38.34,43.43,39.69,41.23,45.67,40.75,37.04,40.40,39.08,39.12,44.56,40.00,37.64,35.15,37.98,37.30,39.09,30.31,33.46,32.66,29.83,33.70,37.31,33.85,28.51,32.47,35.07,33.73,32.04,32.65,32.19,31.84,31.58,31.29,31.06,30.74,30.40,30.03,29.69,29.35,28.98,28.75,28.51,28.10,27.74,27.46,27.13,26.73,26.42,26.28,26.01,25.59,25.23,24.95,24.64,24.39,24.08,23.69,23.39,23.06,22.86,22.73,22.54,22.16,21.72,21.46,21.24,21.01,20.76,20.56,20.35,20.04,19.69,19.43,19.21,19.00,18.85,18.67,18.44,18.24,18.00,17.74,17.58,17.38,17.08,16.86,16.72,16.47,16.22,16.02,15.77,15.63,15.54,15.31,15.06,14.87,14.72,14.56,14.39,14.27,14.08,13.80,13.59,13.50,13.34,13.18,13.01,12.85,12.82,12.66,12.38,12.10,11.96,11.89,11.76,11.64,11.52,11.42,11.25,11.08,10.99,10.89,10.80,10.71,10.55,10.45,10.35,10.23
30,53.17,53.80,49.19,43.47,52.85,54.22,47.09,42.98,46.26,40.98,41.87,37.81,48.82,45.27,43.44,47.47,42.60,47.71,46.23,45.89,39.94,39.79,48.24,47.10,39.38,41.54,40.74,39.32,40.45,42.41,36.92,34.76,40.81,35.23,38.66,41.14,33.05,38.10,39.72,38.13,36.11,36.40,35.71,35.37,35.07,34.77,34.54,34.28,33.96,33.61,33.32,32.90,32.48,32.23,31.98,31.65,31.28,30.86,30.43,30.12,29.79,29.51,29.13,28.74,28.39,27.99,27.69,27.38,27.09,26.73,26.36,26.04,25.78,25.59,25.27,24.89,24.46,24.09,23.83,23.62,23.40,23.15,22.88,22.47,22.09,21.86,21.59,21.36,21.13,20.91,20.71,20.47,20.20,19.89,19.69,19.41,19.10,18.93,18.78,18.53,18.29,18.05,17.75,17.57,17.44,17.31,17.08,16.78,16.59,16.39,16.11,16.00,15.89,15.62,15.42,15.27,15.11,14.88,14.65,14.48,14.38,14.22,13.99,13.71,13.49,13.35,13.21,13.09,12.97,12.85,12.62,12.39,12.23,12.14,12.05,11.89,11.74,11.65,11.49,11.35
31,57.50,56.64,52.07,50.78,55.10,50.55,52.86,57.15,53.17,49.04,45.31,50.45,53.63,47.69,46.77,45.52,50.77,48.27,46.19,48.78,48.58,51.06,47.82,45.21,43.53,36.90,39.79,41.85,42.99,38.42,43.47,40.26,42.43,43.90,37.34,42.35,41.03,35.16,41.94,41.19,40.43,40.24,39.36,39.18,38.90,38.48,38.13,37.90,37.63,37.30,37.02,36.60,36.18,35.87,35.61,35.28,34.92,34.52,34.03,33.68,33.35,32.91,32.39,32.04,31.70,31.25,31.02,30.60,30.13,29.79,29.45,29.09,28.75,28.38,27.93,27.62,27.31,27.01,26.71,26.40,26.14,25.91,25.67,25.27,24.86,24.47,24.10,23.88,23.63,23.32,23.08,22.87,22.56,22.28,22.03,21.65,21.31,21.12,20.96,20.70,20.41,20.11,19.83,19.60,19.44,19.33,19.13,18.86,18.57,18.26,17.99,17.85,17.75,17.50,17.24,17.10,16.94,16.65,16.36,16.12,15.95,15.78,15.62,15.39,15.16,15.01,14.87,14.73,14.61,14.42,14.12,13.95,13.73,13.50,13.42,13.27,13.12,13.03,12.81,12.66
32,54.89,65.69,59.94,53.92,56.78,54.38,61.16,55.45,51.02,53.74,55.51,54.17,55.23,55.30,56.27,57.28,48.41,45.86,47.04,49.16,53.37,49.93,49.27,49.09,48.77,39.89,50.33,52.66,43.75,48.56,44.82,41.57,44.26,41.65,47.56,51.13,45.14,48.01,42.82,49.53,44.71,44.20,43.16,43.07,42.86,42.42,42.05,41.77,41.49,41.19,40.87,40.47,40.19,39.88,39.36,38.91,38.62,38.29,37.74,37.30,36.92,36.50,36.06,35.58,35.10,34.64,34.32,33.93,33.44,33.09,32.82,32.33,31.87,31.45,31.03,30.71,30.39,30.15,29.74,29.26,28.89,28.63,28.29,27.85,27.52,27.17,26.78,26.52,26.22,25.83,25.57,25.31,25.02,24.70,24.41,24.10,23.77,23.49,23.25,22.98,22.61,22.39,22.11,21.78,21.57,21.29,21.07,20.83,20.43,20.15,19.98,19.79,19.64,19.42,19.11,18.91,18.70,18.42,18.12,17.89,17.72,17.54,17.37,17.14,16.90,16.74,16.59,16.38,16.18,15.93,15.61,15.51,15.34,15.05,14.97,14.89,14.61,14.40,14.25,14.08
33,65.67,64.41,60.37,67.83,59.68,57.92,69.13,57.38,57.47,57.36,54.98,57.67,51.19,60.32,62.79,57.97,52.00,57.41,56.72,56.35,52.65,53.18,52.18,52.47,51.86,53.57,50.58,54.37,46.59,50.22,49.07,45.97,44.69,50.72,46.46,50.60,53.23,46.32,46.31,55.37,49.23,48.56,47.34,47.26,47.09,46.69,46.38,46.06,45.62,45.34,44.97,44.48,44.33,44.00,43.44,43.03,42.62,42.12,41.64,41.23,40.78,40.26,39.85,39.36,38.75,38.31,37.95,37.59,37.05,36.60,36.26,35.67,35.21,34.88,34.38,33.92,33.59,33.28,32.79,32.27,31.92,31.62,31.18,30.71,30.40,30.07,29.71,29.32,28.80,28.42,28.20,27.86,27.53,27.22,26.89,26.53,26.15,25.88,25.61,25.37,25.05,24.70,24.42,24.16,23.91,23.52,23.20,22.99,22.70,22.38,22.11,21.81,21.50,21.23,21.01,20.83,20.64,20.30,19.94,19.78,19.61,19.37,19.19,18.95,18.71,18.54,18.31,18.09,17.82,17.55,17.36,17.12,16.88,16.72,16.63,16.49,16.21,15.94,15.80,15.61
34,72.08,70.15,66.86,69.00,61.53,70.72,68.68,75.66,68.77,60.63,70.58,60.31,62.95,56.93,63.76,64.78,56.26,53.50,59.44,59.26,62.11,62.77,63.22,60.04,56.91,51.79,56.02,62.63,58.87,49.36,54.62,53.61,53.03,54.84,50.10,54.72,47.76,60.97,58.01,56.49,54.06,53.24,51.98,51.85,51.74,51.50,51.14,50.74,50.31,49.99,49.66,49.22,48.86,48.48,48.12,47.68,47.13,46.57,46.10,45.63,45.06,44.48,43.92,43.42,42.88,42.35,41.94,41.47,40.85,40.39,39.93,39.32,38.86,38.49,38.01,37.44,36.99,36.66,36.16,35.62,35.30,34.96,34.54,34.04,33.64,33.27,32.87,32.39,31.86,31.52,31.12,30.70,30.34,30.05,29.79,29.38,28.89,28.50,28.18,27.90,27.61,27.18,26.84,26.64,26.39,26.03,25.67,25.42,25.16,24.82,24.46,24.13,23.78,23.47,23.14,22.86,22.69,22.43,22.15,21.86,21.56,21.26,21.02,20.77,20.59,20.41,20.11,19.95,19.72,19.45,19.25,18.93,18.62,18.45,18.30,18.08,17.94,17.74,17.47,17.26
35,77.80,78.08,76.54,73.66,81.05,68.79,72.74,78.68,73.17,73.58,68.20,73.38,64.48,67.65,70.54,70.13,71.84,64.22,63.99,67.69,73.45,62.82,60.00,65.20,57.18,57.11,61.68,59.27,61.81,62.16,61.44,52.05,57.59,58.61,59.89,58.33,58.66,58.88,56.98,61.57,59.15,58.34,57.00,56.84,56.71,56.51,56.25,55.88,55.40,54.96,54.66,54.33,53.83,53.36,53.01,52.55,51.94,51.42,50.84,50.21,49.63,49.01,48.46,47.92,47.33,46.67,46.11,45.64,45.06,44.51,44.00,43.42,42.84,42.35,41.90,41.40,40.87,40.38,39.87,39.30,38.83,38.39,37.94,37.47,37.03,36.64,36.20,35.81,35.39,34.98,34.44,33.89,33.45,33.00,32.63,32.29,31.88,31.38,30.98,30.65,30.38,30.04,29.67,29.34,28.98,28.63,28.22,27.87,27.65,27.34,26.95,26.66,26.28,25.88,25.45,25.06,24.85,24.67,24.41,24.01,23.72,23.48,23.17,22.86,22.68,22.49,22.12,21.81,21.58,21.29,21.02,20.81,20.63,20.32,20.03,19.81,19.66,19.46,19.20,18.97
36,85.94,88.88,83.59,71.89,83.33,73.76,81.79,76.95,81.77,81.16,73.92,73.57,78.11,75.97,66.53,78.95,76.20,70.99,72.26,76.47,73.51,65.12,69.86,69.67,67.62,69.30,60.81,61.29,62.26,68.72,61.89,51.82,63.04,64.50,67.85,64.26,66.94,65.49,61.22,76.43,64.70,63.84,62.22,62.11,61.98,61.79,61.54,61.27,60.84,60.27,59.90,59.55,59.11,58.60,58.15,57.65,57.04,56.49,55.83,55.22,54.60,53.85,53.18,52.60,51.90,51.17,50.55,50.02,49.43,48.80,48.22,47.61,47.03,46.46,45.83,45.31,44.83,44.24,43.63,43.00,42.49,41.97,41.42,41.04,40.63,40.21,39.69,39.26,38.80,38.25,37.77,37.28,36.78,36.31,35.78,35.33,34.92,34.48,34.15,33.69,33.24,32.85,32.52,32.10,31.66,31.32,30.92,30.53,30.20,29.86,29.51,29.20,28.80,28.37,27.91,27.48,27.23,27.02,26.66,26.20,25.92,25.70,25.39,25.08,24.83,24.58,24.20,23.82,23.57,23.34,23.05,22.77,22.50,22.19,21.88,21.66,21.44,21.17,20.91,20.66
37,90.13,90.45,84.03,86.02,83.78,83.03,94.14,94.69,90.33,84.29,82.35,82.29,83.09,84.96,76.04,78.70,83.19,80.76,76.01,73.48,71.68,72.50,71.25,76.89,77.63,73.26,71.08,71.87,69.30,78.44,64.12,64.13,61.89,64.18,74.04,65.31,80.62,75.81,79.11,73.43,70.67,69.65,67.91,67.76,67.61,67.50,67.14,66.85,66.61,66.13,65.65,65.12,64.56,64.12,63.67,63.07,62.41,61.84,61.17,60.49,59.78,59.00,58.24,57.52,56.85,56.17,55.39,54.71,54.04,53.34,52.71,52.03,51.44,50.79,50.14,49.49,48.89,48.39,47.73,47.02,46.44,45.88,45.30,44.88,44.45,43.99,43.39,42.81,42.31,41.73,41.23,40.75,40.24,39.85,39.36,38.81,38.27,37.78,37.39,36.93,36.40,35.89,35.44,35.00,34.65,34.23,33.71,33.33,32.90,32.52,32.21,31.87,31.52,31.06,30.64,30.26,29.84,29.47,29.13,28.77,28.38,28.04,27.74,27.44,27.12,26.67,26.22,25.96,25.77,25.53,25.16,24.74,24.46,24.26,24.00,23.77,23.48,23.14,22.87,22.60
38,108.13,99.69,111.45,99.60,97.93,98.56,84.84,94.48,93.27,93.75,91.65,89.96,77.73,87.05,90.26,93.94,89.67,87.41,80.28,83.80,84.83,83.89,84.19,87.21,77.02,78.11,76.09,82.90,75.90,80.39,75.01,73.54,67.54,77.88,78.03,71.13,69.47,75.59,74.88,87.68,77.11,76.04,74.24,74.02,73.83,73.59,73.33,73.13,72.79,72.37,71.90,71.19,70.55,70.07,69.45,68.83,68.13,67.50,66.91,66.14,65.31,64.56,63.84,62.90,62.17,61.63,60.79,59.91,59.15,58.35,57.64,56.96,56.25,55.51,54.75,54.07,53.46,52.85,52.22,51.56,50.86,50.28,49.72,49.16,48.56,47.95,47.31,46.71,46.20,45.64,45.06,44.50,44.00,43.48,42.94,42.43,41.86,41.30,40.84,40.38,39.84,39.31,38.91,38.35,37.79,37.28,36.74,36.37,35.94,35.59,35.17,34.75,34.38,33.91,33.53,33.19,32.75,32.28,31.85,31.45,30.96,30.51,30.23,29.93,29.62,29.11,28.59,28.39,28.19,27.87,27.43,26.99,26.70,26.41,26.15,25.83,25.47,25.18,24.97,24.67
39,104.88,119.61,112.51,121.44,108.55,106.14,107.41,102.88,99.02,107.39,101.19,101.68,93.88,104.97,98.15,96.20,98.52,92.77,91.78,91.84,88.86,91.30,89.15,90.06,86.72,89.57,88.57,89.91,83.55,74.32,81.37,82.90,88.00,75.57,85.17,82.45,84.01,86.59,85.21,89.22,84.29,83.04,81.01,80.79,80.53,80.29,80.02,79.77,79.39,79.00,78.63,78.01,77.29,76.56,75.80,75.19,74.57,73.73,73.03,72.36,71.49,70.62,69.77,68.87,68.08,67.33,66.52,65.58,64.76,63.98,63.03,62.26,61.54,60.69,59.80,59.05,58.46,57.78,57.06,56.35,55.63,55.02,54.38,53.75,53.07,52.30,51.64,51.01,50.42,49.85,49.23,48.70,48.14,47.45,46.85,46.35,45.69,45.09,44.63,44.03,43.49,43.06,42.57,41.93,41.32,40.76,40.32,39.87,39.26,38.80,38.35,37.89,37.49,37.07,36.62,36.13,35.74,35.31,34.78,34.36,33.83,33.34,33.09,32.74,32.31,31.80,31.35,31.09,30.75,30.36,29.97,29.58,29.21,28.78,28.43,28.10,27.79,27.49,27.14,26.82
40,133.48,134.24,115.35,112.92,123.91,121.95,117.31,114.98,111.22,104.36,103.20,111.86,108.91,117.15,112.37,104.31,103.70,105.10,101.83,106.78,98.96,93.98,103.03,89.48,96.20,93.46,101.76,98.33,101.09,89.98,90.81,86.47,81.93,96.31,95.52,90.68,92.22,81.18,96.16,99.00,91.91,90.57,88.33,88.09,87.81,87.51,87.12,86.80,86.56,86.23,85.73,85.25,84.60,83.65,82.77,82.15,81.53,80.58,79.72,79.00,78.21,77.24,76.10,75.25,74.45,73.46,72.52,71.61,70.78,69.96,68.99,68.16,67.29,66.32,65.44,64.56,63.76,63.04,62.25,61.42,60.77,60.06,59.27,58.63,57.94,57.15,56.45,55.74,55.06,54.48,53.85,53.17,52.39,51.69,51.12,50.57,49.86,49.17,48.66,48.06,47.38,46.82,46.25,45.64,45.11,44.56,44.08,43.53,42.91,42.39,41.89,41.45,40.96,40.33,39.80,39.37,38.90,38.39,37.91,37.53,37.04,36.59,36.23,35.78,35.30,34.87,34.42,34.03,33.63,33.23,32.76,32.30,31.91,31.47,31.04,30.69,30.42,30.05,29.56,29.20
41,139.18,145.40,132.48,126.14,131.61,125.89,124.48,138.42,116.23,128.65,110.69,115.60,132.97,126.31,123.80,118.41,106.64,122.94,117.63,116.65,112.76,101.14,107.52,103.21,95.88,102.29,106.80,107.56,103.54,108.49,101.92,92.97,95.34,100.17,88.43,101.69,102.81,92.91,98.66,107.99,100.15,98.82,96.53,96.28,95.92,95.53,95.06,94.67,94.35,93.92,93.31,92.80,92.31,91.47,90.47,89.62,88.79,87.89,87.06,86.13,85.29,84.38,83.19,82.08,81.11,80.11,79.03,78.00,77.20,76.37,75.33,74.33,73.30,72.33,71.49,70.57,69.60,68.75,67.86,67.02,66.38,65.56,64.67,63.97,63.27,62.46,61.61,60.80,60.04,59.37,58.73,57.98,57.18,56.40,55.76,55.18,54.48,53.74,53.09,52.55,51.80,50.97,50.39,49.87,49.25,48.66,48.11,47.40,46.80,46.32,45.76,45.22,44.68,44.03,43.49,43.05,42.57,41.99,41.37,40.84,40.34,39.93,39.41,38.93,38.54,38.13,37.69,37.24,36.78,36.31,35.77,35.30,34.90,34.44,33.99,33.62,33.27,32.81,32.37,31.98
42,170.84,146.31,154.34,149.77,146.58,146.28,138.38,144.10,137.54,139.29,134.03,137.09,132.54,134.53,129.89,129.11,130.80,122.37,133.58,133.64,118.20,121.54,118.06,115.14,119.58,116.89,113.66,114.01,109.02,106.90,109.37,105.59,102.63,109.46,112.73,104.01,105.44,105.15,110.89,113.39,109.19,107.72,105.26,105.00,104.61,104.19,103.67,103.09,102.59,102.06,101.47,100.85,100.23,99.63,98.72,97.62,96.58,95.59,94.74,93.82,92.76,91.74,90.65,89.49,88.35,87.25,86.11,84.93,83.97,83.10,82.05,80.85,79.76,78.75,77.83,76.90,75.96,75.06,74.01,73.12,72.35,71.38,70.45,69.71,68.97,68.08,67.14,66.30,65.38,64.57,63.91,63.16,62.48,61.68,60.83,60.06,59.34,58.62,57.86,57.23,56.55,55.70,54.97,54.43,53.77,53.14,52.49,51.76,51.06,50.48,49.95,49.35,48.72,48.03,47.46,46.94,46.46,45.82,45.13,44.59,44.08,43.65,43.12,42.61,42.13,41.42,40.87,40.50,39.98,39.38,38.91,38.56,38.21,37.67,37.14,36.82,36.38,35.84,35.38,34.95
43,179.69,168.93,172.63,175.70,163.86,156.81,162.40,162.13,158.39,143.61,137.22,134.36,153.87,149.98,140.50,153.01,150.45,141.33,146.22,141.87,150.94,137.62,136.26,131.38,126.67,126.99,126.06,126.20,119.64,119.40,119.09,109.19,115.83,122.60,109.54,117.10,116.39,121.77,112.88,136.91,118.94,117.29,114.47,114.15,113.74,113.21,112.67,112.08,111.44,110.82,110.18,109.51,108.77,108.08,107.31,106.29,105.15,103.91,102.83,101.87,100.73,99.55,98.40,97.27,96.09,94.85,93.61,92.38,91.27,90.15,89.10,88.05,86.84,85.70,84.60,83.58,82.68,81.76,80.61,79.52,78.58,77.60,76.61,75.63,74.72,73.88,72.99,72.17,71.29,70.38,69.58,68.69,67.94,67.14,66.22,65.31,64.53,63.80,63.00,62.21,61.43,60.71,60.01,59.25,58.51,57.84,57.07,56.42,55.70,54.94,54.32,53.75,53.12,52.32,51.66,51.12,50.57,49.86,49.18,48.64,48.06,47.55,47.01,46.42,45.86,45.06,44.41,44.06,43.62,43.03,42.55,42.14,41.71,41.04,40.30,39.89,39.50,38.94,38.39,37.93
44,209.13,192.75,193.62,182.55,180.52,183.07,170.27,170.88,182.22,162.78,166.02,163.19,154.04,159.30,170.75,146.96,162.63,165.76,158.26,151.88,145.52,148.57,152.41,144.74,146.50,137.75,127.28,136.98,139.05,133.94,125.48,122.50,132.05,126.69,125.27,134.58,129.24,133.59,131.65,137.79,129.53,127.68,124.46,124.03,123.55,122.94,122.32,121.77,121.04,120.29,119.56,118.80,117.98,117.01,116.20,115.33,114.19,112.79,111.53,110.41,109.16,107.93,106.63,105.43,104.25,102.92,101.52,100.27,99.05,97.71,96.48,95.42,94.25,93.09,91.95,90.80,89.69,88.66,87.55,86.36,85.24,84.25,83.35,82.22,81.15,80.26,79.20,78.24,77.36,76.43,75.61,74.70,73.69,72.70,71.90,71.04,70.26,69.41,68.48,67.66,66.84,66.08,65.32,64.41,63.50,62.80,61.99,61.21,60.55,59.72,58.91,58.30,57.70,57.03,56.26,55.56,54.92,54.22,53.48,52.82,52.17,51.60,51.12,50.39,49.68,49.06,48.46,48.01,47.52,46.88,46.35,45.87,45.32,44.57,43.82,43.40,42.98,42.40,41.83,41.32
45,229.12,218.37,222.95,210.21,203.81,210.88,203.68,195.42,190.63,191.29,180.60,178.93,181.32,180.41,181.69,177.59,169.01,171.38,169.97,161.99,159.89,169.57,158.21,157.95,146.97,155.76,155.23,147.81,154.63,135.69,141.89,143.41,128.87,142.70,145.88,151.67,134.94,144.77,148.00,152.06,140.96,138.98,135.35,134.88,134.22,133.52,132.92,132.27,131.43,130.56,129.62,128.61,127.63,126.61,125.63,124.59,123.55,122.25,120.87,119.54,118.15,116.79,115.41,114.11,112.80,111.39,109.92,108.54,107.21,105.83,104.49,103.26,102.01,100.76,99.64,98.46,97.16,95.90,94.74,93.61,92.43,91.33,90.36,89.26,88.07,86.97,85.86,84.82,83.80,82.79,81.87,80.88,79.86,78.86,77.95,77.03,76.17,75.19,74.15,73.27,72.36,71.45,70.66,69.87,68.92,68.11,67.26,66.31,65.57,64.85,64.08,63.35,62.57,61.87,61.04,60.18,59.51,58.84,58.10,57.33,56.63,55.94,55.40,54.67,53.83,53.26,52.70,52.10,51.52,50.91,50.26,49.60,48.92,48.30,47.67,47.17,46.67,46.13,45.60,45.05
46,252.12,248.71,225.95,234.37,209.57,230.63,233.13,223.74,194.17,196.63,201.01,203.40,193.05,198.23,192.91,189.38,182.06,179.36,184.96,196.42,188.37,195.85,179.03,185.55,158.10,161.45,161.75,169.03,157.57,152.13,164.99,145.10,138.79,149.87,156.00,153.48,150.09,158.69,162.27,166.52,153.29,151.20,147.25,146.55,145.73,144.88,144.12,143.26,142.24,141.21,140.15,139.04,137.96,136.86,135.70,134.48,133.32,132.07,130.66,129.14,127.62,126.08,124.56,123.20,121.78,120.25,118.81,117.26,115.78,114.42,112.99,111.63,110.22,108.88,107.57,106.28,104.99,103.64,102.39,101.17,99.95,98.80,97.56,96.38,95.14,93.93,92.80,91.66,90.58,89.50,88.43,87.34,86.30,85.36,84.31,83.34,82.37,81.20,80.15,79.17,78.22,77.29,76.40,75.57,74.68,73.76,72.80,71.86,71.01,70.20,69.36,68.48,67.64,66.82,66.02,65.16,64.38,63.68,62.86,62.02,61.28,60.54,59.82,59.09,58.32,57.62,56.99,56.38,55.72,55.08,54.40,53.56,52.82,52.33,51.76,51.12,50.55,49.92,49.37,48.78
